ResponseId;IC1;IC2;IC3;Q1;A1;O1;A2;A2_8_TEXT;A2_a;A2_b;A2_b_5_TEXT;CB1;RB;CB3;DF1;DF2;SB1;TP1;OS1;MS;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q135_First Click;Q135_Last Click;Q135_Page Submit;Q135_Click Count;Q10;Q10_6_TEXT;Q11_1;Q11_2;Q11_3;Q11_4;Q11_5;Q11_6;Q11_7;Q11_8;Q18;Q19;Q19_12_TEXT;Q20;Q21;Q22;Q22_11_TEXT;Q23;Q23_10_TEXT;Q142;Q12;Q13;Q14;Q15;Q16;Q24;A7_1;A7_2;A7_3;A7_4;A7_5;A7_6;A8;A9_1;A9_2;A9_3;A9_4;A9_5;A9_6;GENDER;GENDER_TEXT;AGE_ITEM;AGE_NUM;ETH_HISP;ETH_R;A6_15_TEXT;Q25
R_2qr4XwOPqovvQE9;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;I have different variations of the same password;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;;;No;;Yes;I have different variations of the same passwords. Sometimes they are automatically saved if the website or browser gives me the option, but if not I guess which variation until I get it right.;N/A;Same password I've used since high school;So I can remember it;Yes;About equally secure;I want to remember it;I save my passwords in the browser (for example, passwords saved in Chrome).;318.435;318.435;320.53;1;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Disagree;Makes my life easier;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;;;;;;;Extremely likely;Somewhat Disagree;Disagree;Somewhat Disagree;Disagree;Somewhat Agree;Disagree;None of the above;Low understanding;Full Understanding;Low understanding;Full Understanding;Medium understanding;Medium understanding;Woman;;My age is:;24;No, not of Hispanic, Latino/a/x, or Spanish origin;Black or African American;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_01UKx6FQs6He9s5;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Full-time Faculty;;;;;I use 2 university passwords;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;Yes;;;;;;wrote them down ... memorized them;nope;none;I could remember it easily;No;Unsure;I could remember it easily;I do not use a password manager.;18.068;18.068;21.235;1;I first heard about it in this study;;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;;;;;;;;;;;did not know about them;No;;no;;Neither likely nor unlikely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Disagree;Strongly Disagree;None of the above;Medium understanding;High understanding;Low understanding;Low understanding;Low understanding;Low understanding;Man;;My age is:;65;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_3hF8grBcJBcm5W4;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;Different passwords used.;I remembered my passwords without writing them down or storing them digitally;No;;;;;;;Nope;Random letters and numbers;More secure;Yes;About equally secure;It's about the same.;I save my passwords in the browser (for example, passwords saved in Chrome).;2.368;2.368;24.692;1;Work;;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Required to;Chrome;;Neither satisfied nor dissatisfied;I create the password myself and recall it without storing it in the password manager;Not having to memorize passwords;;Entering passwords when password manager is not installed;;;;;;;;Neither likely nor unlikely;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;None of the above;High understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Woman;;Prefer not to disclose;;Prefer not to disclose;Prefer not to disclose;;I want my email to be entered into the $10 Amazon gift card raffle
R_1M4mBABv9J7xCOZ;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Staff (non-faculty/administrative);;;;;I use a password manager on iCloud. I also try to remember them based on a standard way but different enough based on the website I am on.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;No;Yes;;Yes;I used to write them down a lot. But now I primarily have switched to apples keychain. But at work chrome forces me to use the browser save because it is a windows system.;Nope. That about sums it up!;I used a noun I recognized followed by a combination of letters, numbers and symbols that I associate with GWU.;It was easy to remember and I have used this strategy for other websites. I thought it was secure but I am second guessing that now.;Yes;About equally secure;Laziness to change password. Fewer guidelines and reminders about how secure my password should be. Easier to remember . frequent log ins.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;9.48;25.703;31.89;11;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work),School/class;;Somewhat Agree;Somewhat Agree;Strongly Agree;Strongly Agree;Strongly Disagree;Strongly Disagree;Somewhat Agree;Strongly Agree;Convenience;Apple Keychain;;Extremely satisfied;I let the password manager create and store the password;Not having to type my passwords (autofill);;Generates passwords with unacceptable symbols;;;;;;;;Neither likely nor unlikely;Agree;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Somewhat Agree;None of the above;High understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Full Understanding;Man;;My age is:;36;No, not of Hispanic, Latino/a/x, or Spanish origin;Asian Indian;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_wNSCHm1pX2seoA9;Yes;Yes;Yes;Yes;School of Nursing;;Full-time Faculty;;;;;with much difficulty! I have a different password for every account I use and access;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;No;;;;;;the most important ones, such as GWU accounts and banking, I memorize. others such shopping I write down;no;a phrase;yes;No;Much more secure;because I use it to access many things- email, blackboard, IRB, library so I want it maximally secure;I do not use a password manager.;11.895;11.895;23.764;1;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;;;;;;;;;;;have not needed it;No;;if I felt confident it maintained security;;Moderately likely;Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;Strongly Agree;Agree;None of the above;High understanding;Full Understanding;Medium understanding;Low understanding;Low understanding;Medium understanding;Woman;;My age is:;56;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_1mQp5cFQy2A281L;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Staff (non-faculty/administrative);;;;;I have a list of all of my passwords on my phone’s “Notes” app. I use the same password with slight detail changes for each site, so I conceal the main portion of my password with asterisks for security (for example, password Washington123 would be W*********123). I also utilize the Google tool of auto-filling passwords when able.;I remembered my passwords without writing them down or storing them digitally,I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I used a system-provided password manager (for example, Apple's Keychain);Yes;No;No;Yes;;No;I record [almost] all passwords in my “Notes” app, with the exception of accounts that I’ve had for a long time and use often such that I don’t need a reminder. In addition to this app, I utilize Chrome and Keychain when available.;I do wish that there were some way that I could use a service like Chrome or Keychain in order to store all of my passwords securely so I didn’t have to use multiple methods.;I used the same password base as always (e.g. “Password”) and added a special character (e.g. “!”) to the end. Each time I am asked to reset my password, I simply change the character I use while maintaining the base.;This strategy makes my passwords easier to remember, and allows me to record only the special character at the end since the password base always remains the same.;Yes;Somewhat more secure;I use a more secure password base (e.g. “P@s5w3rD” instead of “Password”) for professional accounts than I do for recreational (like Netflix) accounts.;I save my passwords in the browser (for example, passwords saved in Chrome).,I use a system provided password manager (for example, Apple's Keychain).;2.029;36.199;39.996;13;Other;Chrome and Apple use prompts to invite you to use their password manager each time you type in a new password.;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Strongly Agree;Strongly Disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;It saves time and energy.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;Entering passwords on an incompatible device where the password manger cannot be installed;;;;;;;;Moderately likely;Somewhat Agree;Agree;Agree;Disagree;Somewhat Agree;Neither agree nor disagree;None of the above;High understanding;Full Understanding;Low understanding;Full Understanding;Low understanding;Medium understanding;Woman;;My age is:;29;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_1dAJLJTd9jmlE8Y;Yes;Yes;Yes;Yes;Other;Student Accounts Office;Staff (non-faculty/administrative);;;;;memorize;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;Yes;;;;;;Typically all the passwords relate to myself and if asked to create a new password its usually just one number up;I really wish one password could just give access to all my GWU accounts;all my passwords relate to me;just something that is easy to memorize ... not strong really in my opinion;No;About equally secure;its just about easy for me to remember ....;I do not use a password manager.;22.147;22.147;116.18;1;Other;heard about it but not sure from who...did not pay attention as it made me feel like it was something complicated;Strongly Agree;Strongly Agree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Strongly Disagree;;;;;;;;;;;I'm a hands on person and really need someone to walk we thru;Yes;I was asked to return the keychain...;;If its going to make things easier;Neither likely nor unlikely;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;Strongly Agree;None of the above;Low understanding;Low understanding;Low understanding;No understanding;No understanding;Low understanding;Prefer not to disclose;;Prefer not to disclose;;Prefer not to disclose;Prefer not to disclose;;I want my email to be entered into the $10 Amazon gift card raffle
R_3L7RBZCzYC0sgnX;Yes;Yes;Yes;Yes;Other;Athletics;Staff (non-faculty/administrative);;;;;Memorization mainly. I have a set format and use multiple variables in the format to create easy to remember yet random passwords.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;No;;;Not really combined. The saved in the browser strategy allows for fewer passwords to be memorized.;I am not sure I trust the third party strategies, although I will admit to being a little naive about cybersecurity.;It is a recycled password from more than a few years ago;It was the first thing that popped into my head when asked to create a password. I thought it would be good because it didn't contain any elements that could be associated with GW, DC or current events.;No;Somewhat less secure;I am not sure it is less secure, but it is used for a lot different apps under the GW umbrella. I input that password more than any other. I consider that password at more risk.;I save my passwords in the browser (for example, passwords saved in Chrome).;154.46;154.46;167.974;1;Other People (friends, family, etc, but not at work);;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Neither agree nor disagree;Somewhat Disagree;Strongly Disagree;Convience;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;I have security concerns;;;;;;;;Slightly likely;Disagree;Somewhat Agree;Somewhat Disagree;Disagree;Neither agree nor disagree;Strongly Disagree;None of the above;Medium understanding;Medium understanding;Low understanding;Medium understanding;Low understanding;Medium understanding;Man;;My age is:;55;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2CpP709aM8g4Jvx;Yes;Yes;Yes;Yes;Elliott School of International Affairs;;Student;;No;Bachelors (B.A., B.S., etc.);;For really important accounts I make unique passwords with lots of random letters and numbers. For less important accounts I have the same set of 3-4 passwords that I use.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;Yes;;;I've memorized the passwords for accounts that I use often, like daily or weekly. For accounts that I rarely use, I rely on Chrome to save the password because I can't memorize them all.;No;I wanted it to be pretty secure, so I decided to use a combination of capital letters, lowercase letters, numbers, and symbols.;I wanted the password to be relatively secure since I keep important information on my GW accounts.;Yes;Somewhat more secure;It's more secure than some other accounts because it's a unique password whereas sometimes I re-use the same password on multiple accounts.;I save my passwords in the browser (for example, passwords saved in Chrome).;4.12;22.303;24.308;18;Other People (friends, family, etc, but not at work);;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;Neither agree nor disagree;Strongly Disagree;I have Chrome save my passwords because it's convenient. I tried using LastPass briefly but it was really frustrating to use.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;I have security concerns;;;;;;;;Moderately likely;Somewhat Agree;Somewhat Disagree;Disagree;Somewhat Agree;Neither agree nor disagree;Disagree;None of the above;High understanding;High understanding;Low understanding;High understanding;Medium understanding;Medium understanding;Prefer not to disclose;;My age is:;21;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_2fwzhXprVsV3Zvh;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I keep my passwords saved somewhere.;I stored my passwords in a digital file or files,I saved my passwords in the browser (for example, passwords saved in Chrome),I wrote my passwords down on paper or other physical media.;Yes;No;No;Yes;;;All combined help me to remember my passwords or access my account without having to reset passwords.;N/A;Saved password on browser.;I log in often and didn’t want to have to type it in again.;Yes;Somewhat more secure;I put more time and thought into it than some other passwords that seemed less important to me.;I save my passwords in the browser (for example, passwords saved in Chrome).;908;15.542;24.978;7;I don’t know (don’t remember, not sure);;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;It’s easier.;Chrome;;Slightly satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;Master password concerns;;;;;;;;Neither likely nor unlikely;Somewhat Agree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Somewhat Agree;Somewhat Agree;None of the above;High understanding;High understanding;Medium understanding;High understanding;Medium understanding;Medium understanding;Woman;;My age is:;25;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_57iEIWV0DIf9pcZ;Yes;Yes;Yes;Yes;School of Medicine & Health Sciences;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I remember them;I remembered my passwords without writing them down or storing them digitally,I wrote my passwords down on paper or other physical media.;Yes;;;;;;I have codes and regencies for each account;Nope. It’s not 1234;I picked a bunch of letters and numbers;Yes;Yes;About equally secure;It works.;I save my passwords in the browser (for example, passwords saved in Chrome).;1.007;28.057;29.111;8;I first heard about it in this study;;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;Somewhat Agree;Convenience;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to memorize passwords;;I have security concerns;;;;;;;;Moderately likely;Somewhat Agree;Agree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;None of the above;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Woman;;My age is:;32;Yes, Mexican, Mexican American, Chicano/a/x;White;;I want my email to be entered into the $10 Amazon gift card raffle
R_33kW4DWtY4YMotC;Yes;Yes;Yes;Yes;Graduate School of Education & Human Development;;Full-time Faculty;;;;;I don't know what password management means;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;No;;;Major, frequently used, and highly sensitive accounts I memorize. Less important accounts I allow the browser to store the login info.;Now that I get what you mean, I have a base password that then I modify in different ways with different letters capitalized, different symbols, etc., but most of my accounts work off a similar base. That's probably not safe, but it's bewildering how many passwords one needs. And they don't seem to do much anyway, as every other day we hear of a hack, so what's the use really?;It was one I used at my previous employment.;Because it was easy to remember that this was my main employment password.;Yes;About equally secure;I have no patience for highly secure passwords.;I save my passwords in the browser (for example, passwords saved in Chrome).;23.794;23.794;25.974;1;I don’t know (don’t remember, not sure);;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Strongly Disagree;convenience;Other;Edge;Neither satisfied nor dissatisfied;I create the password myself and recall it without storing it in the password manager;Not having to memorize passwords;;I have security concerns;;;;;;;;Slightly likely;Somewhat Agree;Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Strongly Disagree;None of the above;Low understanding;Low understanding;Low understanding;Low understanding;Low understanding;Low understanding;Man;;My age is:;49;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_2VeX5xtmfxndyhz;Yes;Yes;Yes;Yes;Milken Institute School of Public Health;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I tend to use a variation of 3 different passwords.;I remembered my passwords without writing them down or storing them digitally,I saved my passwords in the browser (for example, passwords saved in Chrome);Yes;;;Yes;;;If Chrome is available, I'll automatically use that. If not, I'll go back and try my passwords.;No.;Same as my others.;Convenience.;No;About equally secure;Same as any of my other passwords.;I save my passwords in the browser (for example, passwords saved in Chrome).;5.501;34.433;35.006;2;I don’t know (don’t remember, not sure);;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Somewhat Agree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Strongly Disagree;It was available and easy to implement.;Chrome;;Moderately satisfied;I create the password myself, and the password manager stores it for me;Not having to type my passwords (autofill);;I have security concerns;;;;;;;;Extremely likely;Strongly Disagree;Somewhat Disagree;Somewhat Agree;Disagree;Disagree;Somewhat Agree;None of the above;High understanding;High understanding;Low understanding;High understanding;Medium understanding;Medium understanding;Woman;;My age is:;32;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies,I want my email to be entered into the $10 Amazon gift card raffle
R_a4aIMXcG3qUxl0B;Yes;Yes;Yes;Yes;School of Business;;Student;;No;Graduate (M.S.E, M.S., M.A, M.F.A., etc.);;I manage using similar codes and differentiate with numbers and special characters;I remembered my passwords without writing them down or storing them digitally;No;;;;;;;No;Similar password with different numbers and special characters that assist;It’s common across platforms;No;About equally secure;My other accounts have not been hacked so I stuck with the strategy.;I do not use a password manager.;9.592;21.699;23.019;5;Media (Internet, TV, radio, etc);;Strongly Disagree;Strongly Disagree;Neither agree nor disagree;Strongly Agree;Strongly Disagree;Strongly Disagree;Strongly Disagree;Strongly Disagree;;;;;;;;;;;I am not putting my trust in a system. Think OPM and few years back. My information supplied to the US government is now in a foreign governments hands. I don’t trust anything.;No;;Never.;;Extremely unlikely;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Neither agree nor disagree;None of the above;High understanding;Medium understanding;No understanding;Low understanding;Medium understanding;Medium understanding;Man;;My age is:;33;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
R_1f1qpvdblt8TNZo;Yes;Yes;Yes;Yes;Columbian College of Arts & Sciences;;Staff (non-faculty/administrative);;;;;I use the same password for many accounts, but sometimes I'll change one or two characters of that main password;I remembered my passwords without writing them down or storing them digitally,I reset my password every time I log in rather than remembering my password,I saved my passwords in the browser (for example, passwords saved in Chrome),I wrote my passwords down on paper or other physical media.;Yes;;;No;;;"I remember passwords for important accounts (i.e., contain sensitive identifying or financial information) that I access frequently (e.g., GW accounts, online banking, Amazon); I write down passwords for important accounts that I rarely access (e.g., software subscriptions); I tend to forget passwords for unimportant accounts that I rarely access (e.g., one-time purchases), so I tend to reset them; I save passwords in the browser for streaming and social media apps";NA;It is an variation of the password that I used at my previous institution;"So that I can easily remember it, and it still has the same level of ""very secure""";No;About equally secure;I assume that it offers the same higher level of security;I save my passwords in the browser (for example, passwords saved in Chrome).;8.299;17.972;27.956;3;Other People (friends, family, etc, but not at work),I don’t know (don’t remember, not sure);;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;Somewhat Disagree;"Saving some passwords through Chrome is convenient for accessing ""unimportant"" accounts";Chrome;;Moderately satisfied;I create the password myself and recall it without storing it in the password manager;Not having to type my passwords (autofill);;I have security concerns;;;;;;;;Moderately likely;Neither agree nor disagree;Somewhat Agree;Neither agree nor disagree;Somewhat Disagree;Somewhat Agree;Somewhat Disagree;None of the above;Medium understanding;High understanding;Medium understanding;Low understanding;Medium understanding;Medium understanding;Woman;;My age is:;30;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;I am willing to be contacted via email for follow-up studies
R_2ydyEw3HVq9ZkFr;Yes;Yes;Yes;Yes;Other;Office of the Vice President for Research;Staff (non-faculty/administrative);;;;;I use post-it notes for each account with a somewhat discreet indication as to what account it is for and what username is involved.;I remembered my passwords without writing them down or storing them digitally,I used a system-provided password manager (for example, Apple's Keychain),I wrote my passwords down on paper or other physical media.;Yes;;;;;No;For keychain, I use it on the iPhone when the app asks if I want to store the password to unlock through touchID, i.e. for convenience, but still has a secure unlock. I mostly use the paper method combined with using similar passwords across accounts, but with minor, easy to remember changes among some accounts.;None;There is some similarity to my GW password as my other passwords, but I did create a unique GW password. I think that was in part because the system for a long period kept requiring that the password change periodically. Therefore, the password was incrementally tweaked over time.;In part because the system required too frequent changes to the password as part of the system's security protocol.;No;About equally secure;I generally try to seek a reasonable level of security by using what are considered reasonably strong passwords, and the GW system should also have a strong password.;I do not use a password manager.;369.235;418.949;424.989;9;Media (Internet, TV, radio, etc),Other People (friends, family, etc, but not at work);;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Somewhat Disagree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;Neither agree nor disagree;;;;;;;;;;;"Ironically, I feel that centralizing all my passwords in one app is less secure. 
 Also, I want to be able to access my accounts without going through a password manager layer/step.";No;;I have thought about it, however, I need to understand better how it works. Also, I am not certain that storing passwords all in one place is more secure.;;Moderately unlikely;Agree;Somewhat Agree;Somewhat Agree;Neither agree nor disagree;Neither agree nor disagree;Somewhat Disagree;None of the above;Medium understanding;Medium understanding;Medium understanding;Medium understanding;Low understanding;Medium understanding;Man;;My age is:;49;No, not of Hispanic, Latino/a/x, or Spanish origin;White;;None of the above
